Date,Open,High,Low,Close,Adj Close,Volume,monthly returns,mr%,,,
01-07-2011,1320.640015,1356.47998,1282.859985,1292.280029,1292.280029,81102170000,-28.359986,-2.194569703,,,2.690679347
01-08-2011,1292.589966,1307.380005,1101.540039,1218.890015,1218.890015,1.08419E+11,-73.699951,-6.046480822,,,2.71178952
01-09-2011,1219.119995,1229.290039,1114.219971,1131.420044,1131.420044,1.02787E+11,-87.699951,-7.751316716,,,2.718399488
01-10-2011,1131.209961,1292.660034,1074.77002,1253.300049,1253.300049,98063670000,122.090088,9.741489127,,,2.721922908
01-11-2011,1251,1277.550049,1158.660034,1246.959961,1246.959961,84275050000,-4.040039,-0.323991076,,,2.769241551
01-12-2011,1246.910034,1269.369995,1202.369995,1257.599976,1257.599976,74742430000,10.689942,0.850027211,,,2.770507228
01-01-2012,1258.859985,1333.469971,1258.859985,1312.410034,1312.410034,79567560000,53.550049,4.080283418,,,2.869151824
01-02-2012,1312.449951,1378.040039,1312.449951,1365.680054,1365.680054,78385710000,53.230103,3.89769938,,,2.873625734
01-03-2012,1365.900024,1419.150024,1340.030029,1408.469971,1408.469971,83899660000,42.569947,3.022424892,,,2.908101049
01-04-2012,1408.469971,1422.380005,1357.380005,1397.910034,1397.910034,74761710000,-10.559937,-0.755408914,,,2.933916274
01-05-2012,1397.859985,1415.319946,1291.97998,1310.329956,1310.329956,86920490000,-87.530029,-6.67999908,,,2.941926933
01-06-2012,1309.869995,1363.459961,1266.73999,1362.160034,1362.160034,81582440000,52.290039,3.838758861,,,2.950986439
01-07-2012,1362.329956,1391.73999,1325.410034,1379.319946,1379.319946,73103810000,16.98999,1.231765701,,,2.978584013
01-08-2012,1379.319946,1426.680054,1354.650024,1406.579956,1406.579956,70283810000,27.26001,1.938034868,,,3.01767682
01-09-2012,1406.540039,1474.51001,1396.560059,1440.670044,1440.670044,69784280000,34.130005,2.369036903,,,3.022424892
01-10-2012,1440.900024,1470.959961,1403.280029,1412.160034,1412.160034,71752320000,-28.73999,-2.035179392,,,3.052856609
01-11-2012,1412.199951,1434.27002,1343.349976,1416.180054,1416.180054,71489310000,3.980103,0.281044984,,,3.056736636
01-12-2012,1416.339966,1448,1398.109985,1426.189941,1426.189941,66388180000,9.849975,0.690649591,,,3.079742031
01-01-2013,1426.189941,1509.939941,1426.189941,1498.109985,1498.109985,75848510000,71.920044,4.800718553,,,3.135311864
01-02-2013,1498.109985,1530.939941,1485.01001,1514.680054,1514.680054,69273480000,16.570069,1.093964957,,,3.147073537
01-03-2013,1514.680054,1570.280029,1501.47998,1569.189941,1569.189941,68527110000,54.509887,3.47375965,,,3.152317372
01-04-2013,1569.180054,1597.569946,1536.030029,1597.569946,1597.569946,77098000000,28.389892,1.777067231,,,3.158709847
01-05-2013,1597.550049,1687.180054,1581.280029,1630.73999,1630.73999,76447250000,33.189941,2.035268725,,,3.189458167
01-06-2013,1631.709961,1654.189941,1560.329956,1606.280029,1606.280029,74946790000,-25.429932,-1.583156831,,,3.28173915
01-07-2013,1609.780029,1698.780029,1604.569946,1685.72998,1685.72998,68106820000,75.949951,4.505463621,,,3.299585938
